,단어,tf-idf,idf
5359,탄산,188.5188480260919,4.304935135883591
3106,스파클링,156.03086147237636,4.590468979797082
2388,복분자,141.52389437441914,4.657012370573694
1730,만족하다,118.35570174419419,4.492431348467563
4523,적당하다,101.4739829176259,4.565043881431272
3149,시원하다,98.8957895423493,4.991651426113245
2434,부드럽다,83.07996605964988,4.390774179796397
5205,친구,81.40079312153206,4.404933708400032
1282,도수,76.77182105176617,4.592617208335372
637,깔끔하다,67.08639386151063,4.941641005538584
4115,음료수,61.4121357438681,5.5528710636306435
